Food Item,Quantity,Calorie Value
Tamarind Rice,150 grams,415
Vegetable Makhani,150 grams,130
Paneer Kalimirch,150 grams,346
Paratha,1 pc,80
Chapathi,3 pcs,80
Curd Rice,300 grams,433
Bisibela Bhat,300 grams,535
Papad,1 pc,160
Salad,5 pc,60 to 70
Raitha,80 ml,112
Jamoon,40g,143
"Vegetable side dishes (Aloo Gobi, Aloo Mutter, etc), without Paneer / Butter",1 Katori or 60 grams,110 to 150
Plain Rice,150 grams,306
Brinjal Sambar,150 grams,199
Garlic Rasam,150 grams,36
Chapathi,2 no.,80
Banana Poriyal,100 grams,353
Sorekai Kootu,150 grams,415
Side dishes with Butter / Paneer,1 Katori or 60 grams,140 to 170
Dry sweets,1 Piece or 60 to 80 grams,100 to 130
Kheer / Payaasam,1 Katori,95 to 120
Salad,5 Pieces of vegetables,60 to 70
Fried rice / Bisibelebath / Vegetable pulao / Puliogere / Vangibath / etc,1 Katori or 60 grams,75 to 90
Raita,1 Katori,80
Fryums,5 Pieces,100
Stuffed parathas,2,110
Vegetable soup without cream,1 Katori,30 to 55
Egg fried Rice,1 Plate or 200 grams,340
Ginger Egg,150 g,343
Garlic Chicken,150 g,314
Chicken Biriyani,1 Plate or 200 grams,470
Mutton Biriyani,1 Plate or 200 grams,450
Kadai Chicken,1 Kadai or 200 grams,350
Chicken Hyderabadi,1 Plate or 200 grams,700
Chicken Lollypop,1 Piece or 60-70 grams,100
Chicken Chilly Fry,200 grams,300
Egg Omlette,1,130
Egg and Dal Curry,200 grams,300
Fish Fry,100 grams,240
Fish Curry,200 grams,460
Egg Burji Masala,150 g,258
Chicken Kalmirch,150 grams,341
White Rice,1 katori or 60 grams,55
Chappathis,2,80
Dal preparations,1 katori or 60 grams,50 to 70
Rasam (plain / masala),1 katori,30
Sambar (with 1 or 2 vegetables),1 katori,60
Vegetable Curry,1 katori or 60 grams,80 to 100
Curd,1 katori,112
Butter Milk,1 katori,56
Pickle,1 spoon,7 to 9
Papad (Fried),1,160
Jeera Pulao,150g,388
Aloo Mooli Bhaji,150 g,196
Vegetable Makhani,150 g,130
Dal Lasooni,100 g,237
Jelabi,100 g,380
Vegetable Fried Rice,150 g,258
Aloo Okra Chilly,150 g,326
Vegetable Noodles,150 g,
